name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
ca chua,111.929125,60.8407273274603,23.15775,12.587736688440062,23.15775,12.587736688440062
ca chua,110.283375,61.87621977471939,22.81725,12.801976505114355,22.81725,12.801976505114355
ca chua,110.4755,61.75849253139199,22.857,12.77761914442593,22.0951,12.3516985062784
ca chua,111.331,61.22420631580291,23.034,12.667077168786808,22.2662,12.24484126316058
ca chua,112.665,60.35745832123815,23.31,12.487749997497549,22.533,12.07149166424763
ca chua,112.7955,60.27041297145723,23.337,12.469740614784254,22.5591,12.054082594291446
ca chua,109.681625,62.239671933256325,21.936325,12.447934386651266,21.936325,12.447934386651266
ca chua,111.331,61.22420631580291,22.2662,12.24484126316058,22.2662,12.24484126316058
ca chua,111.35275,61.21040612050781,22.27055,12.242081224101561,21.5026,11.819940492235991
ca chua,112.4475,60.50163009167604,22.4895,12.10032601833521,22.4895,12.10032601833521
ca chua,111.744,60.03677592942512,22.504,12.090739596898116,21.728,11.673817541832662
ca chua,112.465625,60.48965877205272,22.493125,12.097931754410546,21.7175,11.68076169391363
ca chua,110.7576,60.67823697372889,21.5362,11.798546078225062,21.5362,11.798546078225062
ca chua,112.422125,60.51837684112467,21.7091,11.686307252079247,21.7091,11.686307252079247
ca chua,111.276,60.34397918599668,21.637,11.733551508388242,21.637,11.733551508388242
ca chua,108.763875,59.212548247684595,23.14125,12.598414520783955,22.369875,12.178467370091157
ca chua,108.993,59.06385486065059,23.19,12.56677762992566,23.19,12.56677762992566
ca chua,109.412475,58.78834314193908,23.27925,12.508158115306186,23.27925,12.508158115306186
ca chua,109.60635,58.6595549734014,23.3205,12.480756377319445,23.3205,12.480756377319445
ca chua,109.772025,58.54876644643656,23.35575,12.457184350305651,23.35575,12.457184350305651
ca chua,109.821375,58.51563439038643,23.36625,12.450134976677964,23.36625,12.450134976677964
ca chua,109.2035,57.99211660001728,23.40075,12.426882128575132,23.40075,12.426882128575132
ca chua,109.165,58.018124538802525,23.3925,12.432455258314825,23.3925,12.432455258314825
ca chua,109.179,58.00867141212597,23.3955,12.430429588312707,23.3955,12.430429588312707
ca chua,109.249,57.96133192914049,23.4105,12.420285413387248,22.63015,12.00627589960767
ca chua,109.2245,57.97791475855268,22.625075,12.009710914271624,22.625075,12.009710914271624
ca chua,109.305,57.923371578318886,22.64175,11.998412684080341,22.64175,11.998412684080341
ca chua,108.423475,57.57788719573144,22.620725,12.012652724289294,21.8407,11.598423320003457
ca chua,108.221925,57.713625118288796,22.578675,12.040972146981114,21.8001,11.625766210878318
ca chua,107.92655,57.910709329946044,21.7406,11.665466627615032,20.96415,11.248842819485922
ca chua,105.520825,57.6342651234435,21.5663,11.779265864645387,20.796075,11.358577798050908
ca chua,105.3393,57.75046298957265,21.5292,11.803014333635286,20.7603,11.381478107434026
ca chua,104.66115,58.177497631623005,22.15455,12.314944754139178,21.3906,11.890291486755068
ca chua,101.5954,59.12147747511052,21.663725,12.606785638075035,21.663725,12.606785638075035
ca chua,101.5444,60.00264684695167,22.236,13.139265732909127,22.236,13.139265732909127
ca chua,108.115275,59.62668099663418,23.00325,12.68652787162429,21.4697,11.840759346849339
ca chua,108.7065,58.325010567937326,23.29425,12.498216550272284,21.7413,11.665002113587464
ca chua,109.71915,58.58419815340567,22.56635,12.049232244317476,21.7882,11.633741477272045
ca chua,107.709,58.97483632024765,22.31115,12.21621609490844,20.77245,11.373718433190616
ca chua,108.982425,59.070745433923335,22.414825,12.14930225236721,21.6419,11.730360795389032
ca chua,109.15515,58.957861040555905,22.45035,12.126084894866107,20.90205,11.28980317797879
ca chua,109.3314,58.841927008214135,22.4866,12.102240306653972,20.9358,11.26760304412611
ca chua,111.1718,58.54251860622329,22.7041,11.95586647591884,21.1383,11.131323960338232
ca chua,110.4831,59.00919262614936,22.56345,12.05117314196008,21.7854,11.635615447409734
ca chua,109.79795,59.461912816503805,23.19675,12.562375947148691,21.6503,11.72488421733878
ca chua,110.6819,58.87568948547439,23.3835,12.438525947635435,21.8246,11.60929088445974
ca chua,112.64825,58.47282721005973,23.6325,12.267026687425115,22.057,11.449224908263442
ca chua,110.9966,59.60091096988368,23.286,12.503687616059514,21.7336,11.670108441655545
ca chua,110.87505,59.68128213684337,23.2605,12.520548700037072,21.7098,11.685845453367932
ca chua,109.25915,60.716526508665666,23.68555,13.162323928451999,22.15745,12.313141739519612
ca chua,111.0096,60.5165358215422,23.8979,13.02786535047089,22.3561,12.187357908505026
ca chua,111.0708,60.477041820512355,24.6824,13.439342626780522,23.13975,12.59938371260674
ca chua,112.1004,59.799313707098676,25.689675,13.704009391210114,24.132725,12.87346336750041
ca chua,110.9105,61.48888915690379,25.2417,13.994023049502243,23.7119,13.1459004404415
ca chua,110.906875,61.49115345099956,25.240875,13.994538371606795,23.711125,13.146384530903354
ca chua,106.79955,62.178708331691,23.8992,13.914116549749036,22.4055,13.04448426538972
ca chua,108.71575,61.05110934239852,24.328,13.661786705991277,22.8075,12.807925036866823
ca chua,110.106,61.08954709277194,23.703375,13.151221943582849,22.174125,12.302756011738794
ca chua,110.034925,60.22714965233184,23.853725,13.056235239316692,22.314775,12.213897481941423
ca chua,109.591625,60.508496137810056,22.99125,12.69409009884127,21.4585,11.847817425585186
ca chua,109.355675,60.656391833790906,22.94175,12.725117167928161,21.4123,11.876776023399616
ca chua,110.614075,59.852645195466295,23.20575,12.556498992055866,21.6587,11.719399059252144
ca chua,110.399575,59.99227504287009,22.388725,12.166265568134495,20.844675,11.32721277033212
ca chua,110.1243,60.16987160955223,22.3329,12.20228165508402,20.7927,11.360744989216155
ca chua,109.0347,59.9529948869112,22.26765,12.243921490988905,20.73195,11.399513112300017
ca chua,108.66195,60.18785194869059,21.4263,11.868027144812233,19.89585,11.020310920182789
ca chua,108.99565,59.97775071705757,21.4921,11.826598732940928,19.95695,10.981841680588007
ca chua,107.849,60.688970983202545,21.266,11.966839348800498,20.5065,11.539452229200483
ca chua,108.993,59.06385486065059,22.417,12.147885042261471,20.871,11.310099866933093
ca chua,108.417,60.340435124384044,22.1415,12.323046609909417,20.6145,11.473181326467389
ca chua,109.73325,58.574756460761314,22.56925,12.047290335901263,21.01275,11.216442726528763
ca chua,110.8239,58.779732806384885,22.63305,12.00431162947297,21.8526,11.590369849146315
ca chua,110.08575,58.33710994673545,22.64175,11.998412684080341,21.861,11.584674315663776
ca chua,110.1565,59.22641731313823,23.2725,12.512623376015117,21.721,11.678448484280779
ca chua,108.742725,59.22621028374494,23.13675,12.60132133696701,21.5943,11.761233247835877
ca chua,109.0565,58.091219713051295,23.36925,12.448118509939565,22.590275,12.033181226274912
ca chua,109.1265,58.04409528754841,23.38425,12.438020418760376,22.604775,12.02341973813503
ca chua,108.3425,58.56494423928021,23.21625,12.549630908417189,22.442375,12.131309878136614
ca chua,107.5582,58.15344712706204,23.214,12.55110369648821,22.4402,12.132733573271937
ca chua,110.0785,57.39088636490989,23.58825,12.298047078194976,22.801975,11.888112175588478
ca chua,109.8755,57.53211711513839,22.759925,11.917367116707238,22.759925,11.917367116707238
ca chua,108.9899,57.19088911697387,22.7389,11.9319121179298,21.9548,11.520466872483945
ca chua,108.937775,57.226845999490266,22.728025,11.939413913562717,21.9443,11.527709985508832
ca chua,109.879,57.52969110815736,22.76065,11.91686458668974,21.9758,11.505938221631473
ca chua,109.6849,56.70470714138289,22.8839,11.830478468346072,22.0948,11.422530934954828
ca chua,108.750125,57.35571189937734,22.688875,11.966299604906064,21.9065,11.553668584047234
ca chua,108.625025,57.44112132217977,22.662775,11.984118837001533,21.8813,11.57087335986355
ca chua,107.09255,58.45554023783802,22.34305,12.195760193505775,22.34305,12.195760193505775
ca chua,106.52265,58.818138248141615,22.22415,12.27141013810149,21.4578,11.848258064373852
ca chua,107.930025,57.908403349594906,22.517775,12.081609331929876,21.7413,11.665002113587464
ca chua,107.63465,58.1033430137845,22.45615,12.122280197120507,21.6818,11.704270535150835
ca chua,107.471325,58.210209394438486,22.422075,12.14457606071019,21.6489,11.725797575858113
ca chua,107.3636,58.28033797980242,22.3996,12.159207204419209,21.6272,11.739924197370271
ca chua,106.50875,58.8268852093794,22.22125,12.27323504368347,21.455,11.850020042177144
ca chua,105.78595,59.27545725338186,22.07045,12.36682201689262,21.3094,11.940379878379082
ca chua,107.24905,61.049212722995044,23.413525,13.327645031076381,22.65825,12.897720997815854
ca chua,105.77935,61.898277953247614,23.092675,13.51300434190617,22.34775,13.077100976038228
ca chua,106.31895,61.591978137558634,23.210475,13.446136072283926,22.46175,13.012389747371541
ca chua,107.146325,61.98055754826973,23.227525,13.436344643331198,22.47825,13.002914170965676
ca chua,106.49925,62.34823573636626,23.08725,13.516051103687792,22.3425,13.080049455181733
ca chua,108.0508,61.451517632683405,23.4236,13.321657668623677,22.668,12.891926776087429
ca chua,107.15705,61.974388139759,23.22985,13.435007219108593,22.4805,13.00161988945993
ca chua,107.12835,61.12071928795914,23.387175,13.343255619202347,22.63275,12.912828018582916
ca chua,107.768375,61.618625226950456,23.362375,13.357883790457791,22.60875,12.92698431334625
ca chua,107.75765,61.6249366448153,23.36005,13.359251999924995,22.6065,12.92830838702419
ca chua,107.71475,61.65015719718401,23.35075,13.364719392396536,22.5975,12.933599411996648
ca chua,107.35725,61.858771588494214,23.27325,13.409943491212033,22.5225,12.977364668914872
ca chua,105.88435,62.68944468630665,22.95395,13.590019477451092,22.2135,13.151631752372024
ca chua,106.5816,63.15150783188,22.94465,13.595116269363054,22.2045,13.156564131641666
ca chua,106.848,63.00489580977021,23.002,13.563553959047754,21.518,12.688485961689835
ca chua,105.4584,63.75370945631321,22.70285,13.724756896845204,21.23815,12.839288709951965
ca chua,105.6636,63.64559713790106,22.747025,13.701482717187032,21.279475,12.817516090271742
ca chua,107.2476,62.782216385215335,23.088025,13.515616027372744,22.34325,13.079628413586528
ca chua,105.894,63.523198628532555,22.796625,13.675133038086871,21.325875,12.792866390468362
ca chua,107.6436,62.55824309425577,23.173275,13.467399555013396,22.42575,13.032967311303286
ca chua,100.5603,57.98884603016343,22.5135,12.98257746943957,21.0126,12.117072304810266
ca chua,99.76635,58.44113540715564,23.080275,13.519964161356901,20.8467,12.21158053283849
ca chua,100.12815,58.23680689716341,23.163975,13.472694132925866,20.9223,12.168885023287878
ca chua,100.87855,57.80349340565412,23.337575,13.372449966979683,21.831925,12.509711259432608
ca chua,100.6809,57.91888271703797,23.29185,13.399144509165502,21.0378,12.10245310505271
ca chua,99.835875,59.25066402990244,22.925275,13.605708036496114,20.7067,12.289026613609398
ca chua,98.3024,59.23816130029695,22.7416,13.70435074857616,20.5408,12.37812325677847
ca chua,99.09,59.65167139318059,22.754,13.697791208804434,20.552,12.372198511178198
ca chua,100.44675,58.91317055156258,23.06555,13.528209534062517,20.8334,12.219027966250016
ca chua,98.8875,59.75847089534671,22.7075,13.722315538931468,20.51,12.394349519034874
ca chua,100.247625,59.02408878465957,23.019825,13.553679646847753,20.7921,12.242033229410872
ca chua,101.082,59.41027921159772,23.04075,13.542048937937716,20.811,12.231528072976001
ca chua,101.7076,59.057579549453266,23.18335,13.46165416200773,20.9398,12.158913436652142
ca chua,101.8436,58.97974855015915,23.21435,13.443913272462748,21.71665,12.576564029078051
ca chua,101.7246,59.04787341505196,23.187225,13.459441734313314,20.9433,12.156915114863638
