name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
cachua,42.783125,75.21071127329122,23.714075,41.68822282005284,20.291425,35.671365918189544
cachua,29.810375,61.57572912568211,18.9875,39.220209634192415,14.05075,29.022955129302392
cachua,42.24,72.00959936008532,16.64,28.367417929730582,13.568,23.130356158088013
cachua,26.424,59.4105396710045,13.8726,31.19053332727736,12.8817,28.962638089614696
cachua,38.1822,70.40404252001443,14.5456,26.820587626672165,11.8183,21.791727446671135
cachua,40.56845,72.18219250339727,25.20525,44.84692433643025,19.204,34.169085208708765
cachua,31.103,61.3209539309362,17.802375,35.09817757889112,16.37,32.27418627944011
cachua,26.676,59.63682607248646,13.504725,30.19114319919626,13.00455,29.07295271033715
cachua,58.3856,84.95469917926847,24.3808,35.47558866826596,18.6064,27.073475562624022
cachua,25.746075,58.572737234095314,12.792075,29.102177619456157,11.33475,25.786739662809254
cachua,57.6954,80.85266983124305,22.2684,31.206293619076266,17.2074,24.113954160195295
cachua,28.036,61.51301247703611,15.308,33.586859573351,12.556,27.548772459040716
cachua,45.2922,76.3508966493518,17.7004,29.83828144917197,14.3165,24.133904113300858
cachua,33.267025,58.74425480546481,13.5982,24.01225013946007,13.355375,23.583459958398283
cachua,60.5132,83.59710417089816,22.348625,30.873930517661254,17.8789,24.699144414129
cachua,24.66035,54.021266070664254,11.55415,25.310663124017513,10.86435,23.799578758404532
cachua,30.191525,62.84351472645665,10.5014,21.858613817897968,8.2511,17.174625142634117
cachua,37.955775,63.14297244467807,17.51805,29.142910359082183,16.45635,27.376673367622665
cachua,23.72755,55.59717682578406,13.86675,32.49185658649718,12.480075,29.242670927847463
cachua,23.836275,54.62084738563084,15.03765,34.45878962583422,12.47805,28.593463732075204
cachua,32.280525,66.91739296120534,17.3673,36.00234007269527,14.72445,30.523723105111216
cachua,41.468,70.10909339023006,15.03215,25.414546353958396,12.95875,21.909091684446892
cachua,35.3976,68.51136193537535,22.5449,43.63521266122121,18.963,36.702515322522515
cachua,45.92525,72.69688206819808,16.5445,26.18893888171111,13.97725,22.12513802075594
cachua,38.6289,71.50769178759722,24.6231,45.58092634414093,22.1382,40.981016346108355
cachua,33.208175,60.38200177345377,18.578,33.78014085228183,16.952425,30.82437852770717
cachua,66.4136,85.31135525262741,26.79185,34.41537626668493,20.3769,26.175074907056143
cachua,47.315275,75.2523466522764,19.83275,31.542899794367354,14.7329,23.43186841867289
cachua,49.927725,77.74871864747594,20.146275,31.37228998056047,15.1827,23.64288520274123
cachua,33.3335,65.74373185140922,20.859,41.140249379409454,15.3375,30.250183367212838
cachua,21.10185,51.543029369425895,11.1969,27.349362522552518,9.7614,23.843033994020136
cachua,44.519925,76.79845703524502,26.410125,45.55840671582332,19.367425,33.40949825827043
